Time,agent_x,agent_y,agent_theta,1_x,1_y,1_theta
1504505324.56,-1.70002200851e-17,6.0,1.65263152242e-20,25.0,6.0,5.811626208778923e-23
1504505324.56,-1.70002200851e-17,6.0,1.65263152242e-20,25.0,6.0,5.811626208778923e-23
1504505324.63,-1.70002200851e-17,6.0,1.65263152242e-20,25.25191729830829,5.997945144248519,-0.0008098463860618485
1504505324.7,-1.70002200851e-17,6.0,1.65263152242e-20,25.25191729830829,5.997945144248519,-0.0008098463860618485
1504505324.77,-1.70002200851e-17,6.0,1.65263152242e-20,25.25191729830829,5.997945144248519,-0.0008098463860618485
1504505324.83,-1.70002200851e-17,6.0,1.65263152242e-20,25.25191729830829,5.997945144248519,-0.0008098463860618485
1504505324.9,-1.70002200851e-17,6.0,1.65263152242e-20,25.510358609114,5.997517655692387,-0.0008070152008398258
1504505324.96,-1.70002200851e-17,6.0,1.65263152242e-20,25.510358609114,5.997517655692387,-0.0008070152008398258
1504505325.04,-1.70002200851e-17,6.0,1.65263152242e-20,25.775466856338646,5.997081640175136,-0.0008052144954006521
1504505325.1,0.254503651008,5.99487092993,-0.0019074749032,25.775466856338646,5.997081640175136,-0.0008052144954006521
1504505325.16,0.254503651008,5.99487092993,-0.0019074749032,26.028691298160687,5.996668883385456,-0.0008039837859827345
1504505325.22,0.254503651008,5.99487092993,-0.0019074749032,26.028691298160687,5.996668883385456,-0.0008039837859827345
1504505325.27,0.505783780629,5.98585000349,-0.00469479930199,26.028691298160687,5.996668883385456,-0.0008039837859827345
1504505325.34,0.505783780629,5.98585000349,-0.00469479930199,26.54886673093644,5.995824326060736,-0.0008029108794285704
1504505325.41,0.505783780629,5.98585000349,-0.00469479930199,26.54886673093644,5.995824326060736,-0.0008029108794285704
1504505325.47,0.779757228929,5.9735358147,-0.00805730686017,26.819855567790555,5.995384823899573,-0.000802235240506766
1504505325.54,0.779757228929,5.9735358147,-0.00805730686017,26.819855567790555,5.995384823899573,-0.000802235240506766
1504505325.61,0.779757228929,5.9735358147,-0.00805730686017,27.090976946216873,5.994944567798315,-0.0008016860606500152
1504505325.67,1.04538486264,5.95903945635,-0.0115573618748,27.378839668469357,5.994479170569891,-0.0008008976027140954
1504505325.74,1.33236522908,5.94079470332,-0.0154979369828,27.67365813202245,5.99400157693054,-0.0008003942302738797
1504505325.8,1.33236522908,5.94079470332,-0.0154979369828,27.67365813202245,5.99400157693054,-0.0008003942302738797
1504505325.86,1.58869714489,5.92220293438,-0.0191676698162,27.95455427725453,5.993547153015327,-0.0008001643607602652
1504505325.93,1.58869714489,5.92220293438,-0.0191676698162,28.264049273235962,5.993048471235191,-0.0007997823715502007
1504505325.99,1.87842786093,5.89896360868,-0.0232555520351,28.558283120984257,5.99257451576538,-0.0007994375661856235
1504505326.06,2.17734454556,5.87322265629,-0.0272547173661,28.849341005844366,5.992101202001802,-0.0008005587652924431
1504505326.13,2.4606853179,5.84784379941,-0.0305719234283,29.131328293495137,5.991646159902555,-0.000800701201110243
1504505326.2,2.71346782154,5.82506776826,-0.0330127036122,29.131328293495137,5.991646159902555,-0.000800701201110243
1504505326.26,2.71346782154,5.82506776826,-0.0330127036122,29.68927541913153,5.990745376446879,-0.0008001146329953945
1504505326.33,2.99558985736,5.79915622011,-0.0354138403398,30.018390107396105,5.990215456695056,-0.000800180636525649
1504505326.4,3.31168858428,5.76934912939,-0.0377929112581,30.295565552737614,5.989773172465946,-0.0007999369557022563
1504505326.47,3.6009531413,5.74181781581,-0.0396247492669,30.608053638797333,5.989273022232658,-0.0008000775923800403
1504505326.53,3.86589285199,5.71630632739,-0.0410910875214,30.608053638797333,5.989273022232658,-0.0008000775923800403
1504505326.6,3.86589285199,5.71630632739,-0.0410910875214,31.18425462802532,5.988350023908443,-0.0008002882756613168
1504505326.67,4.45375944366,5.6583870871,-0.0438619338251,31.18425462802532,5.988350023908443,-0.0008002882756613168
1504505326.74,4.76030287841,5.6274280758,-0.0451025561126,31.804386349142618,5.987360269730545,-0.0008025106630219517
1504505326.81,4.76030287841,5.6274280758,-0.0451025561126,31.804386349142618,5.987360269730545,-0.0008025106630219517
1504505326.87,5.35799981647,5.56620094195,-0.0471077707629,32.319871912340574,5.986531811541878,-0.0008037275987335227
1504505326.94,5.35799981647,5.56620094195,-0.0471077707629,32.596484514293685,5.98608515262243,-0.000803700508393471
1504505327.0,5.8737973788,5.5122669754,-0.0486317866979,32.91415149099322,5.985574782338847,-0.0008036567749475545
1504505327.07,6.15434136005,5.48258487153,-0.0493621054177,32.91415149099322,5.985574782338847,-0.0008036567749475545
1504505327.14,6.47594543277,5.44820956486,-0.0501178734533,33.496426664138305,5.984636833559379,-0.0008039053219203059
1504505327.2,6.76355828344,5.4170810412,-0.0508065833722,33.802900772144675,5.984144562625713,-0.0008038478904440993
1504505327.26,7.34238829886,5.35363434125,-0.0520034966914,34.10869740950332,5.983652955018732,-0.0008037750430101281
1504505327.34,7.67114401791,5.31722829405,-0.0526302403384,34.36708351356937,5.9832368989572995,-0.0008040134949038565
1504505327.4,7.97670158021,5.28310590125,-0.053194980053,34.666952757411494,5.98275468219578,-0.0008039756114168151
1504505327.47,8.29665674972,5.2469650484,-0.0537345430711,34.919254051213684,5.982349499741184,-0.0008038875567896192
1504505327.54,8.883794426,5.18235223996,-0.0539145590828,35.23120877609306,5.981847884550216,-0.0008038662949847099
1504505327.61,9.42385803637,5.12276833178,-0.0541707090148,35.54950925109387,5.981335564395138,-0.0008040972134005857
