Time,agent_x,agent_y,agent_theta,1_x,1_y,1_theta
1504505434.66,-3.69415139253e-18,2.0,-8.57272047856e-25,76.29708022965168,5.995384658404357,-0.0009366153350405403
1504505434.66,-3.69415139253e-18,2.0,-8.57272047856e-25,76.29708022965168,5.995384658404357,-0.0009366153350405403
1504505434.74,-3.69415139253e-18,2.0,-8.57272047856e-25,76.56598445547128,5.9948741785884385,-0.0009360927007410342
1504505434.8,-3.69415139253e-18,2.0,-8.57272047856e-25,76.82510229309294,5.99438649238291,-0.0009353307843402341
1504505434.86,-3.69415139253e-18,2.0,-8.57272047856e-25,76.82510229309294,5.99438649238291,-0.0009353307843402341
1504505434.93,-3.69415139253e-18,2.0,-8.57272047856e-25,77.1159533408804,5.99383579034695,-0.000934365849145904
1504505434.99,-3.69415139253e-18,2.0,-8.57272047856e-25,77.36723100034928,5.993363897852195,-0.0009340007464543791
1504505435.05,-3.69415139253e-18,2.0,-8.57272047856e-25,77.36723100034928,5.993363897852195,-0.0009340007464543791
1504505435.12,-3.69415139253e-18,2.0,-8.57272047856e-25,77.63430170952526,5.992859046947782,-0.0009329356473911648
1504505435.19,0.267149565861,2.00029668204,2.47081225147e-05,77.90348656444128,5.992351157537237,-0.0009329869968161876
1504505435.25,0.267149565861,2.00029668204,2.47081225147e-05,78.2243927573777,5.991748579039764,-0.000932222506498366
1504505435.32,0.267149565861,2.00029668204,2.47081225147e-05,78.49772580976584,5.991236164879097,-0.0009320363663998588
1504505435.39,0.267149565861,2.00029668204,2.47081225147e-05,78.76647452821898,5.990731502254161,-0.0009317546996376059
1504505435.46,0.519415485154,2.0003086444,2.41114526227e-05,78.76647452821898,5.990731502254161,-0.0009317546996376059
1504505435.54,0.519415485154,2.0003086444,2.41114526227e-05,79.36730085864066,5.989600022824933,-0.0009312345151331711
1504505435.6,0.784933178013,2.0003196871,2.33186743222e-05,79.6619614023519,5.989048192923608,-0.0009303527206665167
1504505435.66,0.784933178013,2.0003196871,2.33186743222e-05,79.91522645847284,5.988571017565146,-0.0009314527687821944
1504505435.74,1.0592336643,2.0003311215,2.27133699952e-05,79.91522645847284,5.988571017565146,-0.0009314527687821944
1504505435.81,1.0592336643,2.0003311215,2.27133699952e-05,80.45535132453044,5.98755807610504,-0.0009307817739262961
1504505435.87,1.33197434174,2.000342218,2.22343802508e-05,80.72294463334745,5.987056742123876,-0.0009305957126764093
1504505435.95,1.33197434174,2.000342218,2.22343802508e-05,81.00470418917878,5.986527775980415,-0.0009296953400091552
1504505436.02,1.5935719381,2.00035205575,2.15008922229e-05,81.56152442020048,5.9854841500266796,-0.0009299694594683709
1504505436.08,1.86770354483,2.00036189767,2.07274753795e-05,81.86345044276777,5.984919702152903,-0.0009294083887826571
1504505436.15,2.15080795414,2.00037160483,2.01155528493e-05,82.13874207288606,5.98440938803602,-0.0009297208684990169
1504505436.22,2.15080795414,2.00037160483,2.01155528493e-05,82.48913479033787,5.983758033971278,-0.0009297379357911061
1504505436.28,2.44087473234,2.00038244223,1.96750317528e-05,82.8460563556844,5.983094286304878,-0.0009296940196366672
1504505436.36,2.7259240168,2.00039088305,1.88480185355e-05,83.13335440475636,5.9825597140565785,-0.0009298424624312781
1504505436.44,2.7259240168,2.00039088305,1.88480185355e-05,83.43434053372756,5.9819997504893125,-0.0009298703878904215
1504505436.52,3.01215514634,2.00040014504,1.81734589777e-05,84.00164807700325,5.980944652399466,-0.0009298910598475357
1504505436.58,3.30891574116,2.00040832012,1.72685852264e-05,84.28166858021247,5.980423648933132,-0.0009299565928335878
1504505436.65,3.58994299569,2.00041659944,1.66836389589e-05,84.57590394545294,5.979876168489406,-0.0009300734139816011
1504505436.72,3.87194837979,2.0004245427,1.6081963491e-05,84.86990516900745,5.979329235549438,-0.000930067138977898
1504505436.8,4.18125069694,2.00043160695,1.50970214409e-05,85.47917507344663,5.978195539008039,-0.0009301949001013087
1504505436.85,4.44923634933,2.00043774373,1.44422711987e-05,85.47917507344663,5.978195539008039,-0.0009301949001013087
1504505436.92,4.74271142029,2.00044494364,1.38530247031e-05,86.10244653511168,5.977035759380164,-0.0009302595149529663
1504505436.99,5.02739357637,2.00044872288,1.24308676639e-05,86.39654328125745,5.976488432004114,-0.0009303016164557707
1504505437.05,5.28236961563,2.00045342659,1.19502735105e-05,86.6767000086936,5.975966912501539,-0.0009304211799848554
1504505437.12,5.89048434915,2.00046373019,1.06840117407e-05,86.97075669395173,5.97541963931965,-0.000930431614538003
1504505437.18,5.89048434915,2.00046373019,1.06840117407e-05,87.5309961874614,5.974376917265129,-0.0009304977256287913
1504505437.25,6.44454606567,2.00047157844,9.1852253674e-06,87.81111575249798,5.973855327646538,-0.0009305985705848516
